t_seg,v_seg,t_filt,v_filt,t_pks,v_pks,
5.000200e-06,4.000000e-02,5.000200e-06,4.036357e-02,5.616200e-06,-9.418317e-02,
5.000400e-06,4.000000e-02,5.000400e-06,3.433858e-02,5.683600e-06,2.460730e-01,
5.000600e-06,0.000000e+00,5.000600e-06,2.841954e-02,5.810000e-06,-2.449463e-01,
5.000800e-06,0.000000e+00,5.000800e-06,2.270947e-02,5.870200e-06,2.804858e-01,
5.001000e-06,-2.000000e-02,5.001000e-06,1.730524e-02,6.087200e-06,-2.636389e-01,
5.001200e-06,-4.000000e-02,5.001200e-06,1.229530e-02,6.192200e-06,-7.807147e-02,
5.001400e-06,-2.000000e-02,5.001400e-06,7.756811e-03,6.245800e-06,-2.460918e-01,
5.001600e-06,2.000000e-02,5.001600e-06,3.753245e-03,6.348000e-06,3.124440e-01,
5.001800e-06,2.000000e-02,5.001800e-06,3.327510e-04,6.414400e-06,8.409440e-02,
5.002000e-06,2.000000e-02,5.002000e-06,-2.472377e-03,6.504200e-06,4.671878e-01,
5.002200e-06,0.000000e+00,5.002200e-06,-4.646616e-03,6.589400e-06,-1.832251e-01,
5.002400e-06,2.000000e-02,5.002400e-06,-6.191021e-03,6.638800e-06,3.064795e-01,
5.002600e-06,-2.000000e-02,5.002600e-06,-7.123064e-03,6.702200e-06,-2.579862e-02,
5.002800e-06,-4.000000e-02,5.002800e-06,-7.475046e-03,6.867600e-06,5.939926e-01,
5.003000e-06,-2.000000e-02,5.003000e-06,-7.293397e-03,6.907200e-06,-3.531359e-01,
5.003200e-06,2.000000e-02,5.003200e-06,-6.637027e-03,6.934800e-06,3.521110e-01,
5.003400e-06,0.000000e+00,5.003400e-06,-5.574931e-03,6.957800e-06,-1.965821e-01,
5.003600e-06,4.000000e-02,5.003600e-06,-4.182911e-03,6.990200e-06,2.609825e-01,
5.003800e-06,2.000000e-02,5.003800e-06,-2.541717e-03,7.135800e-06,-3.179445e-01,
5.004000e-06,0.000000e+00,5.004000e-06,-7.338834e-04,7.169600e-06,3.591422e-01,
5.004200e-06,-2.000000e-02,5.004200e-06,1.159266e-03,7.192600e-06,-3.620903e-01,
5.004400e-06,-2.000000e-02,5.004400e-06,3.059857e-03,7.214400e-06,5.025396e-01,
5.004600e-06,0.000000e+00,5.004600e-06,4.895713e-03,7.237400e-06,-2.854257e-01,
5.004800e-06,2.000000e-02,5.004800e-06,6.602432e-03,7.260200e-06,3.989137e-01,
5.005000e-06,2.000000e-02,5.005000e-06,8.125185e-03,7.285800e-06,-2.243424e-01,
5.005200e-06,2.000000e-02,5.005200e-06,9.420442e-03,7.322200e-06,2.294627e-01,
5.005400e-06,0.000000e+00,5.005400e-06,1.045704e-02,7.372400e-06,-1.951163e-01,
5.005600e-06,0.000000e+00,5.005600e-06,1.121656e-02,7.402200e-06,-4.266766e-03,
5.005800e-06,-4.000000e-02,5.005800e-06,1.169331e-02,7.436800e-06,-3.190738e-01,
5.006000e-06,-2.000000e-02,5.006000e-06,1.189397e-02,7.474200e-06,6.502318e-01,
5.006200e-06,0.000000e+00,5.006200e-06,1.183605e-02,7.503800e-06,-3.877387e-01,
5.006400e-06,4.000000e-02,5.006400e-06,1.154700e-02,7.528000e-06,5.495120e-01,
5.006600e-06,4.000000e-02,5.006600e-06,1.106270e-02,7.551200e-06,-2.571877e-01,
5.006800e-06,4.000000e-02,5.006800e-06,1.042578e-02,7.570600e-06,2.313718e-01,
5.007000e-06,2.000000e-02,5.007000e-06,9.683467e-03,7.586200e-06,-5.213819e-02,
5.007200e-06,2.000000e-02,5.007200e-06,8.885551e-03,7.602000e-06,1.574010e-01,
5.007400e-06,-2.000000e-02,5.007400e-06,8.082268e-03,7.617600e-06,-7.839425e-03,
5.007600e-06,-2.000000e-02,5.007600e-06,7.321967e-03,7.635800e-06,1.651824e-01,
5.007800e-06,-2.000000e-02,5.007800e-06,6.648857e-03,7.714400e-06,1.906902e-03,
5.008000e-06,2.000000e-02,5.008000e-06,6.101488e-03,7.768600e-06,6.643379e-01,
5.008200e-06,4.000000e-02,5.008200e-06,5.711059e-03,7.827400e-06,-3.323918e-01,
5.008400e-06,4.000000e-02,5.008400e-06,5.500420e-03,7.870800e-06,4.104643e-01,
5.008600e-06,2.000000e-02,5.008600e-06,5.483543e-03,7.896200e-06,-6.069525e-02,
5.008800e-06,-2.000000e-02,5.008800e-06,5.664952e-03,7.920400e-06,6.754080e-02,
5.009000e-06,-2.000000e-02,5.009000e-06,6.039989e-03,7.948000e-06,-8.239804e-02,
5.009200e-06,-4.000000e-02,5.009200e-06,6.594585e-03,7.988200e-06,8.419352e-02,
5.009400e-06,2.000000e-02,5.009400e-06,7.306214e-03,8.059600e-06,-2.086362e-01,
5.009600e-06,4.000000e-02,5.009600e-06,8.144267e-03,8.093200e-06,-5.575896e-02,
5.009800e-06,4.000000e-02,5.009800e-06,9.072128e-03,8.183400e-06,-4.434131e-01,
5.010000e-06,4.000000e-02,5.010000e-06,1.004896e-02,8.287600e-06,2.740504e-01,
5.010200e-06,0.000000e+00,5.010200e-06,1.103114e-02,8.385600e-06,6.655953e-02,
5.010400e-06,-4.000000e-02,5.010400e-06,1.197422e-02,8.456800e-06,1.749794e-01,
5.010600e-06,-2.000000e-02,5.010600e-06,1.283474e-02,8.541000e-06,-2.894840e-01,
5.010800e-06,-2.000000e-02,5.010800e-06,1.357140e-02,8.583000e-06,3.296499e-01,
5.011000e-06,0.000000e+00,5.011000e-06,1.414704e-02,8.615600e-06,-3.161264e-01,
5.011200e-06,4.000000e-02,5.011200e-06,1.453036e-02,8.648800e-06,5.524961e-01,
5.011400e-06,4.000000e-02,5.011400e-06,1.469670e-02,8.685000e-06,-2.966063e-01,
5.011600e-06,4.000000e-02,5.011600e-06,1.462953e-02,8.728000e-06,4.085551e-01,
5.011800e-06,4.000000e-02,5.011800e-06,1.432106e-02,8.794400e-06,-8.992686e-02,
5.012000e-06,0.000000e+00,5.012000e-06,1.377257e-02,8.970600e-06,4.235873e-01,
5.012200e-06,0.000000e+00,5.012200e-06,1.299458e-02,9.060800e-06,-3.921539e-01,
5.012400e-06,0.000000e+00,5.012400e-06,1.200590e-02,9.129800e-06,4.294689e-01,
5.012600e-06,2.000000e-02,5.012600e-06,1.083314e-02,9.238000e-06,-2.116039e-01,
5.012800e-06,6.000000e-02,5.012800e-06,9.509522e-03,9.285800e-06,1.641116e-01,
5.013000e-06,4.000000e-02,5.013000e-06,8.074081e-03,9.389000e-06,-1.186409e-01,
5.013200e-06,0.000000e+00,5.013200e-06,6.570423e-03,9.449200e-06,1.446623e-01,
5.013400e-06,-4.000000e-02,5.013400e-06,5.045077e-03,9.512800e-06,-1.874388e-01,
5.013600e-06,-4.000000e-02,5.013600e-06,3.545745e-03,9.549800e-06,8.004782e-02,
5.013800e-06,-4.000000e-02,5.013800e-06,2.119456e-03,9.589000e-06,-3.406399e-01,
5.014000e-06,0.000000e+00,5.014000e-06,8.108851e-04,9.634000e-06,5.602196e-01,
5.014200e-06,2.000000e-02,5.014200e-06,-3.391679e-04,9.678000e-06,-1.855954e-01,
5.014400e-06,2.000000e-02,5.014400e-06,-1.295080e-03,9.719000e-06,5.602868e-03,
5.014600e-06,2.000000e-02,5.014600e-06,-2.027248e-03,9.791400e-06,-2.155639e-01,
5.014800e-06,0.000000e+00,5.014800e-06,-2.513265e-03,9.854600e-06,1.613750e-01,
5.015000e-06,0.000000e+00,5.015000e-06,-2.738185e-03,,,
5.015200e-06,-4.000000e-02,5.015200e-06,-2.695533e-03,,,
5.015400e-06,-2.000000e-02,5.015400e-06,-2.386792e-03,,,
5.015600e-06,0.000000e+00,5.015600e-06,-1.821997e-03,,,
5.015800e-06,0.000000e+00,5.015800e-06,-1.019056e-03,,,
5.016000e-06,4.000000e-02,5.016000e-06,-2.588928e-06,,,
5.016200e-06,4.000000e-02,5.016200e-06,1.196527e-03,,,
5.016400e-06,2.000000e-02,5.016400e-06,2.543032e-03,,,
5.016600e-06,-2.000000e-02,5.016600e-06,3.998298e-03,,,
5.016800e-06,-2.000000e-02,5.016800e-06,5.521559e-03,,,
5.017000e-06,-2.000000e-02,5.017000e-06,7.071125e-03,,,
5.017200e-06,0.000000e+00,5.017200e-06,8.605694e-03,,,
5.017400e-06,2.000000e-02,5.017400e-06,1.008568e-02,,,
5.017600e-06,2.000000e-02,5.017600e-06,1.147455e-02,,,
5.017800e-06,4.000000e-02,5.017800e-06,1.274004e-02,,,
5.018000e-06,4.000000e-02,5.018000e-06,1.385489e-02,,,
5.018200e-06,0.000000e+00,5.018200e-06,1.479805e-02,,,
5.018400e-06,-2.000000e-02,5.018400e-06,1.555502e-02,,,
5.018600e-06,-2.000000e-02,5.018600e-06,1.611762e-02,,,
5.018800e-06,2.000000e-02,5.018800e-06,1.648409e-02,,,
5.019000e-06,6.000000e-02,5.019000e-06,1.665855e-02,,,
5.019200e-06,6.000000e-02,5.019200e-06,1.665100e-02,,,
5.019400e-06,2.000000e-02,5.019400e-06,1.647709e-02,,,
5.019600e-06,0.000000e+00,5.019600e-06,1.615715e-02,,,
5.019800e-06,0.000000e+00,5.019800e-06,1.571511e-02,,,
5.020000e-06,-2.000000e-02,5.020000e-06,1.517760e-02,,,
5.020200e-06,-2.000000e-02,5.020200e-06,1.457273e-02,,,
5.020400e-06,2.000000e-02,5.020400e-06,1.392906e-02,,,
5.020600e-06,2.000000e-02,5.020600e-06,1.327412e-02,,,
5.020800e-06,4.000000e-02,5.020800e-06,1.263409e-02,,,
5.021000e-06,6.000000e-02,5.021000e-06,1.203278e-02,,,
5.021200e-06,0.000000e+00,5.021200e-06,1.149104e-02,,,
5.021400e-06,-2.000000e-02,5.021400e-06,1.102639e-02,,,
5.021600e-06,-2.000000e-02,5.021600e-06,1.065192e-02,,,
5.021800e-06,0.000000e+00,5.021800e-06,1.037578e-02,,,
5.022000e-06,4.000000e-02,5.022000e-06,1.020138e-02,,,
5.022200e-06,4.000000e-02,5.022200e-06,1.012708e-02,,,
5.022400e-06,4.000000e-02,5.022400e-06,1.014688e-02,,,
5.022600e-06,0.000000e+00,5.022600e-06,1.025057e-02,,,
5.022800e-06,2.000000e-02,5.022800e-06,1.042453e-02,,,
5.023000e-06,-2.000000e-02,5.023000e-06,1.065178e-02,,,
5.023200e-06,-2.000000e-02,5.023200e-06,1.091315e-02,,,
5.023400e-06,-2.000000e-02,5.023400e-06,1.118741e-02,,,
5.023600e-06,4.000000e-02,5.023600e-06,1.145215e-02,,,
5.023800e-06,4.000000e-02,5.023800e-06,1.168467e-02,,,
5.024000e-06,2.000000e-02,5.024000e-06,1.186327e-02,,,
5.024200e-06,2.000000e-02,5.024200e-06,1.196787e-02,,,
5.024400e-06,2.000000e-02,5.024400e-06,1.198041e-02,,,
5.024600e-06,-2.000000e-02,5.024600e-06,1.188588e-02,,,
5.024800e-06,-2.000000e-02,5.024800e-06,1.167290e-02,,,
5.025000e-06,0.000000e+00,5.025000e-06,1.133366e-02,,,
5.025200e-06,2.000000e-02,5.025200e-06,1.086423e-02,,,
5.025400e-06,2.000000e-02,5.025400e-06,1.026492e-02,,,
5.025600e-06,6.000000e-02,5.025600e-06,9.540613e-03,,,
5.025800e-06,2.000000e-02,5.025800e-06,8.700312e-03,,,
5.026000e-06,0.000000e+00,5.026000e-06,7.757616e-03,,,
5.026200e-06,-2.000000e-02,5.026200e-06,6.729961e-03,,,
5.026400e-06,-2.000000e-02,5.026400e-06,5.638035e-03,,,
5.026600e-06,0.000000e+00,5.026600e-06,4.505037e-03,,,
5.026800e-06,4.000000e-02,5.026800e-06,3.356033e-03,,,
5.027000e-06,0.000000e+00,5.027000e-06,2.217358e-03,,,
5.027200e-06,2.000000e-02,5.027200e-06,1.116426e-03,,,
5.027400e-06,2.000000e-02,5.027400e-06,8.026266e-05,,,
5.027600e-06,-4.000000e-02,5.027600e-06,-8.651040e-04,,,
5.027800e-06,-6.000000e-02,5.027800e-06,-1.694929e-03,,,
5.028000e-06,-2.000000e-02,5.028000e-06,-2.387260e-03,,,
5.028200e-06,2.000000e-02,5.028200e-06,-2.923959e-03,,,
5.028400e-06,2.000000e-02,5.028400e-06,-3.290891e-03,,,
5.028600e-06,4.000000e-02,5.028600e-06,-3.477940e-03,,,
5.028800e-06,2.000000e-02,5.028800e-06,-3.479910e-03,,,
5.029000e-06,0.000000e+00,5.029000e-06,-3.296406e-03,,,
5.029200e-06,-4.000000e-02,5.029200e-06,-2.932063e-03,,,
5.029400e-06,-6.000000e-02,5.029400e-06,-2.396425e-03,,,
5.029600e-06,-4.000000e-02,5.029600e-06,-1.704142e-03,,,
5.029800e-06,4.000000e-02,5.029800e-06,-8.748458e-04,,,
5.030000e-06,6.000000e-02,5.030000e-06,6.731309e-05,,,
5.030200e-06,2.000000e-02,5.030200e-06,1.095164e-03,,,
5.030400e-06,2.000000e-02,5.030400e-06,2.179141e-03,,,
5.030600e-06,0.000000e+00,5.030600e-06,3.287731e-03,,,
5.030800e-06,0.000000e+00,5.030800e-06,4.388759e-03,,,
5.031000e-06,-4.000000e-02,5.031000e-06,5.449956e-03,,,
5.031200e-06,-4.000000e-02,5.031200e-06,6.440514e-03,,,
